,名称,X,Y,Z,C,用户坐标,手系,J1 Flag,J2 Flag
P0943*,,,,,,,,,
P0944*,,,,,,,,,
P0945*,,,,,,,,,
P0946*,,,,,,,,,
P0947*,,,,,,,,,
P0948*,,,,,,,,,
P0949*,,,,,,,,,
P0950*,,,,,,,,,
P0951*,,,,,,,,,
P0952*,,,,,,,,,
P0953*,,,,,,,,,
P0954*,,,,,,,,,
P0955*,,,,,,,,,
P0956*,,,,,,,,,
P0957*,,,,,,,,,
P0958*,,,,,,,,,
P0959*,,,,,,,,,
P0960*,,,,,,,,,
P0961*,,,,,,,,,
P0962*,,,,,,,,,
P0963*,,,,,,,,,
P0964*,,,,,,,,,
P0965*,,,,,,,,,
P0966*,,,,,,,,,
P0967*,,,,,,,,,
P0968*,,,,,,,,,
P0969*,,,,,,,,,
P0970*,,,,,,,,,
P0971*,,,,,,,,,
P0972*,,,,,,,,,
P0973*,,,,,,,,,
P0974*,,,,,,,,,
P0975*,,,,,,,,,
P0976*,,,,,,,,,
P0977*,,,,,,,,,
P0978*,,,,,,,,,
P0979*,,,,,,,,,
P0980*,,,,,,,,,
P0981*,,,,,,,,,
P0982*,,,,,,,,,
P0983*,,,,,,,,,
P0984*,,,,,,,,,
P0985*,,,,,,,,,
P0986*,,,,,,,,,
P0987*,,,,,,,,,
P0988*,,,,,,,,,
P0989*,,,,,,,,,
P0990*,,,,,,,,,
P0991*,,,,,,,,,
P0992*,,,,,,,,,
P0993*,,,,,,,,,
P0994*,,,,,,,,,
P0995*,,,,,,,,,
P0996*,,,,,,,,,
P0997*,,,,,,,,,
P0998*,,,,,,,,,
P0999*,,,,,,,,,
P1000*,,,,,,,,,
P1001*,,,,,,,,,
P1002*,,,,,,,,,
P1003*,,,,,,,,,
P1004*,,,,,,,,,
P1005*,,,,,,,,,
P1006*,,,,,,,,,
P1007*,,,,,,,,,
P1008*,,,,,,,,,
P1009*,,,,,,,,,
P1010*,,,,,,,,,
P1011*,,,,,,,,,
P1012*,,,,,,,,,
P1013*,,,,,,,,,
P1014*,,,,,,,,,
P1015*,,,,,,,,,
P1016*,,,,,,,,,
P1017*,,,,,,,,,
P1018*,,,,,,,,,
P1019*,,,,,,,,,
P1020*,,,,,,,,,
P1021*,,,,,,,,,
P1022*,,,,,,,,,
P1023*,,,,,,,,,
P1024*,,,,,,,,,
P1025*,,,,,,,,,
P1026*,,,,,,,,,
P1027*,,,,,,,,,
P1028*,,,,,,,,,
P1029*,,,,,,,,,
P1030*,,,,,,,,,
P1031*,,,,,,,,,
P1032*,,,,,,,,,
P1033*,,,,,,,,,
P1034*,,,,,,,,,
P1035*,,,,,,,,,
P1036*,,,,,,,,,
P1037*,,,,,,,,,
P1038*,,,,,,,,,
P1039*,,,,,,,,,
P1040*,,,,,,,,,
P1041*,,,,,,,,,
P1042*,,,,,,,,,
P1043*,,,,,,,,,
P1044*,,,,,,,,,
P1045*,,,,,,,,,
P1046*,,,,,,,,,
P1047*,,,,,,,,,
P1048*,,,,,,,,,
P1049*,,,,,,,,,
P1050*,,,,,,,,,
P1051*,,,,,,,,,
P1052*,,,,,,,,,
P1053*,,,,,,,,,
P1054*,,,,,,,,,
P1055*,,,,,,,,,
P1056*,,,,,,,,,
P1057*,,,,,,,,,
P1058*,,,,,,,,,
P1059*,,,,,,,,,
P1060*,,,,,,,,,
P1061*,,,,,,,,,
P1062*,,,,,,,,,
P1063*,,,,,,,,,
P1064*,,,,,,,,,
P1065*,,,,,,,,,
P1066*,,,,,,,,,
P1067*,,,,,,,,,
P1068*,,,,,,,,,
P1069*,,,,,,,,,
P1070*,,,,,,,,,
P1071*,,,,,,,,,
P1072*,,,,,,,,,
P1073*,,,,,,,,,
P1074*,,,,,,,,,
P1075*,,,,,,,,,
P1076*,,,,,,,,,
P1077*,,,,,,,,,
P1078*,,,,,,,,,
P1079*,,,,,,,,,
P1080*,,,,,,,,,
P1081*,,,,,,,,,
P1082*,,,,,,,,,
P1083*,,,,,,,,,
P1084*,,,,,,,,,
P1085*,,,,,,,,,
P1086*,,,,,,,,,
P1087*,,,,,,,,,
P1088*,,,,,,,,,
P1089*,,,,,,,,,
P1090*,,,,,,,,,
P1091*,,,,,,,,,
P1092*,,,,,,,,,
P1093*,,,,,,,,,
P1094*,,,,,,,,,
P1095*,,,,,,,,,
P1096*,,,,,,,,,
P1097*,,,,,,,,,
P1098*,,,,,,,,,
P1099*,,,,,,,,,
P1100*,,,,,,,,,
P1101*,,,,,,,,,
P1102*,,,,,,,,,
P1103*,,,,,,,,,
P1104*,,,,,,,,,
P1105*,,,,,,,,,
P1106*,,,,,,,,,
P1107*,,,,,,,,,
P1108*,,,,,,,,,
P1109*,,,,,,,,,
P1110*,,,,,,,,,
P1111*,,,,,,,,,
P1112*,,,,,,,,,
P1113*,,,,,,,,,
P1114*,,,,,,,,,
P1115*,,,,,,,,,
P1116*,,,,,,,,,
P1117*,,,,,,,,,
P1118*,,,,,,,,,
P1119*,,,,,,,,,
P1120*,,,,,,,,,
P1121*,,,,,,,,,
P1122*,,,,,,,,,
P1123*,,,,,,,,,
P1124*,,,,,,,,,
P1125*,,,,,,,,,
P1126*,,,,,,,,,
P1127*,,,,,,,,,
P1128*,,,,,,,,,
P1129*,,,,,,,,,
P1130*,,,,,,,,,
P1131*,,,,,,,,,
P1132*,,,,,,,,,
P1133*,,,,,,,,,
P1134*,,,,,,,,,
P1135*,,,,,,,,,
P1136*,,,,,,,,,
P1137*,,,,,,,,,
P1138*,,,,,,,,,
P1139*,,,,,,,,,
P1140*,,,,,,,,,
P1141*,,,,,,,,,
P1142*,,,,,,,,,
P1143*,,,,,,,,,
P1144*,,,,,,,,,
P1145*,,,,,,,,,
P1146*,,,,,,,,,
P1147*,,,,,,,,,
P1148*,,,,,,,,,
P1149*,,,,,,,,,
P1150*,,,,,,,,,
P1151*,,,,,,,,,
P1152*,,,,,,,,,
P1153*,,,,,,,,,
P1154*,,,,,,,,,
P1155*,,,,,,,,,
P1156*,,,,,,,,,
P1157*,,,,,,,,,
P1158*,,,,,,,,,
P1159*,,,,,,,,,
P1160*,,,,,,,,,
P1161*,,,,,,,,,
P1162*,,,,,,,,,
P1163*,,,,,,,,,
P1164*,,,,,,,,,
P1165*,,,,,,,,,
P1166*,,,,,,,,,
P1167*,,,,,,,,,
P1168*,,,,,,,,,
P1169*,,,,,,,,,
P1170*,,,,,,,,,
P1171*,,,,,,,,,
P1172*,,,,,,,,,
P1173*,,,,,,,,,
P1174*,,,,,,,,,
P1175*,,,,,,,,,
P1176*,,,,,,,,,
P1177*,,,,,,,,,
P1178*,,,,,,,,,
P1179*,,,,,,,,,
P1180*,,,,,,,,,
P1181*,,,,,,,,,
P1182*,,,,,,,,,
P1183*,,,,,,,,,
P1184*,,,,,,,,,
P1185*,,,,,,,,,
P1186*,,,,,,,,,
P1187*,,,,,,,,,
P1188*,,,,,,,,,
P1189*,,,,,,,,,
P1190*,,,,,,,,,
P1191*,,,,,,,,,
P1192*,,,,,,,,,
P1193*,,,,,,,,,
P1194*,,,,,,,,,
P1195*,,,,,,,,,
P1196*,,,,,,,,,
P1197*,,,,,,,,,
P1198*,,,,,,,,,
P1199*,,,,,,,,,
P1200*,,,,,,,,,
P1201*,,,,,,,,,
P1202*,,,,,,,,,
P1203*,,,,,,,,,
P1204*,,,,,,,,,
P1205*,,,,,,,,,
P1206*,,,,,,,,,
P1207*,,,,,,,,,
P1208*,,,,,,,,,
P1209*,,,,,,,,,
P1210*,,,,,,,,,
P1211*,,,,,,,,,
P1212*,,,,,,,,,
P1213*,,,,,,,,,
P1214*,,,,,,,,,
P1215*,,,,,,,,,
P1216*,,,,,,,,,
P1217*,,,,,,,,,
P1218*,,,,,,,,,
P1219*,,,,,,,,,
P1220*,,,,,,,,,
P1221*,,,,,,,,,
P1222*,,,,,,,,,
P1223*,,,,,,,,,
P1224*,,,,,,,,,
P1225*,,,,,,,,,
P1226*,,,,,,,,,
P1227*,,,,,,,,,
P1228*,,,,,,,,,
P1229*,,,,,,,,,
P1230*,,,,,,,,,
P1231*,,,,,,,,,
P1232*,,,,,,,,,
P1233*,,,,,,,,,
P1234*,,,,,,,,,
P1235*,,,,,,,,,
P1236*,,,,,,,,,
P1237*,,,,,,,,,
P1238*,,,,,,,,,
P1239*,,,,,,,,,
P1240*,,,,,,,,,
P1241*,,,,,,,,,
P1242*,,,,,,,,,
P1243*,,,,,,,,,
P1244*,,,,,,,,,
P1245*,,,,,,,,,
P1246*,,,,,,,,,
P1247*,,,,,,,,,
P1248*,,,,,,,,,
P1249*,,,,,,,,,
P1250*,,,,,,,,,
P1251*,,,,,,,,,
P1252*,,,,,,,,,
P1253*,,,,,,,,,
P1254*,,,,,,,,,
P1255*,,,,,,,,,
P1256*,,,,,,,,,
P1257*,,,,,,,,,
P1258*,,,,,,,,,
P1259*,,,,,,,,,
P1260*,,,,,,,,,
P1261*,,,,,,,,,
P1262*,,,,,,,,,
P1263*,,,,,,,,,
P1264*,,,,,,,,,
P1265*,,,,,,,,,
P1266*,,,,,,,,,
P1267*,,,,,,,,,
P1268*,,,,,,,,,
P1269*,,,,,,,,,
P1270*,,,,,,,,,
P1271*,,,,,,,,,
P1272*,,,,,,,,,
P1273*,,,,,,,,,
P1274*,,,,,,,,,
P1275*,,,,,,,,,
P1276*,,,,,,,,,
P1277*,,,,,,,,,
P1278*,,,,,,,,,
P1279*,,,,,,,,,
P1280*,,,,,,,,,
P1281*,,,,,,,,,
P1282*,,,,,,,,,
P1283*,,,,,,,,,
P1284*,,,,,,,,,
P1285*,,,,,,,,,
P1286*,,,,,,,,,
P1287*,,,,,,,,,
P1288*,,,,,,,,,
P1289*,,,,,,,,,
P1290*,,,,,,,,,
P1291*,,,,,,,,,
P1292*,,,,,,,,,
P1293*,,,,,,,,,
P1294*,,,,,,,,,
P1295*,,,,,,,,,
P1296*,,,,,,,,,
P1297*,,,,,,,,,
P1298*,,,,,,,,,
P1299*,,,,,,,,,
P1300*,,,,,,,,,
P1301*,,,,,,,,,
P1302*,,,,,,,,,
P1303*,,,,,,,,,
P1304*,,,,,,,,,
P1305*,,,,,,,,,
P1306*,,,,,,,,,
P1307*,,,,,,,,,
P1308*,,,,,,,,,
P1309*,,,,,,,,,
P1310*,,,,,,,,,
P1311*,,,,,,,,,
P1312*,,,,,,,,,
P1313*,,,,,,,,,
P1314*,,,,,,,,,
P1315*,,,,,,,,,
P1316*,,,,,,,,,
P1317*,,,,,,,,,
P1318*,,,,,,,,,
P1319*,,,,,,,,,
P1320*,,,,,,,,,
P1321*,,,,,,,,,
P1322*,,,,,,,,,
P1323*,,,,,,,,,
P1324*,,,,,,,,,
P1325*,,,,,,,,,
P1326*,,,,,,,,,
P1327*,,,,,,,,,
P1328*,,,,,,,,,
P1329*,,,,,,,,,
P1330*,,,,,,,,,
P1331*,,,,,,,,,
P1332*,,,,,,,,,
P1333*,,,,,,,,,
P1334*,,,,,,,,,
P1335*,,,,,,,,,
P1336*,,,,,,,,,
P1337*,,,,,,,,,
P1338*,,,,,,,,,
P1339*,,,,,,,,,
P1340*,,,,,,,,,
P1341*,,,,,,,,,
P1342*,,,,,,,,,
P1343*,,,,,,,,,
P1344*,,,,,,,,,
P1345*,,,,,,,,,
P1346*,,,,,,,,,
P1347*,,,,,,,,,
P1348*,,,,,,,,,
P1349*,,,,,,,,,
P1350*,,,,,,,,,
P1351*,,,,,,,,,
P1352*,,,,,,,,,
P1353*,,,,,,,,,
P1354*,,,,,,,,,
P1355*,,,,,,,,,
P1356*,,,,,,,,,
P1357*,,,,,,,,,
P1358*,,,,,,,,,
P1359*,,,,,,,,,
P1360*,,,,,,,,,
P1361*,,,,,,,,,
P1362*,,,,,,,,,
P1363*,,,,,,,,,
P1364*,,,,,,,,,
P1365*,,,,,,,,,
P1366*,,,,,,,,,
P1367*,,,,,,,,,
P1368*,,,,,,,,,
P1369*,,,,,,,,,
P1370*,,,,,,,,,
P1371*,,,,,,,,,
P1372*,,,,,,,,,
P1373*,,,,,,,,,
P1374*,,,,,,,,,
P1375*,,,,,,,,,
P1376*,,,,,,,,,
P1377*,,,,,,,,,
P1378*,,,,,,,,,
P1379*,,,,,,,,,
P1380*,,,,,,,,,
P1381*,,,,,,,,,
P1382*,,,,,,,,,
P1383*,,,,,,,,,
P1384*,,,,,,,,,
P1385*,,,,,,,,,
P1386*,,,,,,,,,
P1387*,,,,,,,,,
P1388*,,,,,,,,,
P1389*,,,,,,,,,
P1390*,,,,,,,,,
P1391*,,,,,,,,,
P1392*,,,,,,,,,
P1393*,,,,,,,,,
P1394*,,,,,,,,,
P1395*,,,,,,,,,
P1396*,,,,,,,,,
P1397*,,,,,,,,,
P1398*,,,,,,,,,
P1399*,,,,,,,,,
P1400*,,,,,,,,,
P1401*,,,,,,,,,
P1402*,,,,,,,,,
P1403*,,,,,,,,,
P1404*,,,,,,,,,
P1405*,,,,,,,,,
P1406*,,,,,,,,,
P1407*,,,,,,,,,
P1408*,,,,,,,,,
P1409*,,,,,,,,,
P1410*,,,,,,,,,
P1411*,,,,,,,,,
P1412*,,,,,,,,,
P1413*,,,,,,,,,
P1414*,,,,,,,,,
P1415*,,,,,,,,,
P1416*,,,,,,,,,
P1417*,,,,,,,,,
P1418*,,,,,,,,,
P1419*,,,,,,,,,
P1420*,,,,,,,,,
P1421*,,,,,,,,,
P1422*,,,,,,,,,
P1423*,,,,,,,,,
P1424*,,,,,,,,,
P1425*,,,,,,,,,
P1426*,,,,,,,,,
P1427*,,,,,,,,,
P1428*,,,,,,,,,
P1429*,,,,,,,,,
P1430*,,,,,,,,,
P1431*,,,,,,,,,
P1432*,,,,,,,,,
P1433*,,,,,,,,,
P1434*,,,,,,,,,
P1435*,,,,,,,,,
P1436*,,,,,,,,,
P1437*,,,,,,,,,
P1438*,,,,,,,,,
P1439*,,,,,,,,,
P1440*,,,,,,,,,
P1441*,,,,,,,,,
P1442*,,,,,,,,,
P1443*,,,,,,,,,
P1444*,,,,,,,,,
P1445*,,,,,,,,,
P1446*,,,,,,,,,
P1447*,,,,,,,,,
P1448*,,,,,,,,,
P1449*,,,,,,,,,
P1450*,,,,,,,,,
P1451*,,,,,,,,,
P1452*,,,,,,,,,
P1453*,,,,,,,,,
P1454*,,,,,,,,,
P1455*,,,,,,,,,
P1456*,,,,,,,,,
P1457*,,,,,,,,,
P1458*,,,,,,,,,
P1459*,,,,,,,,,
P1460*,,,,,,,,,
P1461*,,,,,,,,,
P1462*,,,,,,,,,
P1463*,,,,,,,,,
P1464*,,,,,,,,,
P1465*,,,,,,,,,
P1466*,,,,,,,,,
P1467*,,,,,,,,,
P1468*,,,,,,,,,
P1469*,,,,,,,,,
P1470*,,,,,,,,,
P1471*,,,,,,,,,
P1472*,,,,,,,,,
P1473*,,,,,,,,,
P1474*,,,,,,,,,
P1475*,,,,,,,,,
P1476*,,,,,,,,,
P1477*,,,,,,,,,
P1478*,,,,,,,,,
P1479*,,,,,,,,,
P1480*,,,,,,,,,
P1481*,,,,,,,,,
P1482*,,,,,,,,,
P1483*,,,,,,,,,
P1484*,,,,,,,,,
P1485*,,,,,,,,,
P1486*,,,,,,,,,
P1487*,,,,,,,,,
P1488*,,,,,,,,,
P1489*,,,,,,,,,
P1490*,,,,,,,,,
P1491*,,,,,,,,,
P1492*,,,,,,,,,
P1493*,,,,,,,,,
P1494*,,,,,,,,,
P1495*,,,,,,,,,
P1496*,,,,,,,,,
P1497*,,,,,,,,,
P1498*,,,,,,,,,
P1499*,,,,,,,,,
P1500*,,,,,,,,,
P1501*,,,,,,,,,
P1502*,,,,,,,,,
P1503*,,,,,,,,,
P1504*,,,,,,,,,
P1505*,,,,,,,,,
P1506*,,,,,,,,,
P1507*,,,,,,,,,
P1508*,,,,,,,,,
P1509*,,,,,,,,,
P1510*,,,,,,,,,
P1511*,,,,,,,,,
P1512*,,,,,,,,,
P1513*,,,,,,,,,
P1514*,,,,,,,,,
P1515*,,,,,,,,,
P1516*,,,,,,,,,
P1517*,,,,,,,,,
P1518*,,,,,,,,,
P1519*,,,,,,,,,
P1520*,,,,,,,,,
P1521*,,,,,,,,,
P1522*,,,,,,,,,
P1523*,,,,,,,,,
P1524*,,,,,,,,,
P1525*,,,,,,,,,
P1526*,,,,,,,,,
P1527*,,,,,,,,,
P1528*,,,,,,,,,
P1529*,,,,,,,,,
P1530*,,,,,,,,,
P1531*,,,,,,,,,
P1532*,,,,,,,,,
P1533*,,,,,,,,,
P1534*,,,,,,,,,
P1535*,,,,,,,,,
P1536*,,,,,,,,,
P1537*,,,,,,,,,
P1538*,,,,,,,,,
P1539*,,,,,,,,,
P1540*,,,,,,,,,
P1541*,,,,,,,,,
P1542*,,,,,,,,,
P1543*,,,,,,,,,
P1544*,,,,,,,,,
P1545*,,,,,,,,,
P1546*,,,,,,,,,
P1547*,,,,,,,,,
P1548*,,,,,,,,,
P1549*,,,,,,,,,
P1550*,,,,,,,,,
P1551*,,,,,,,,,
P1552*,,,,,,,,,
P1553*,,,,,,,,,
P1554*,,,,,,,,,
P1555*,,,,,,,,,
P1556*,,,,,,,,,
P1557*,,,,,,,,,
P1558*,,,,,,,,,
P1559*,,,,,,,,,
P1560*,,,,,,,,,
P1561*,,,,,,,,,
P1562*,,,,,,,,,
P1563*,,,,,,,,,
P1564*,,,,,,,,,
P1565*,,,,,,,,,
P1566*,,,,,,,,,
P1567*,,,,,,,,,
P1568*,,,,,,,,,
P1569*,,,,,,,,,
P1570*,,,,,,,,,
P1571*,,,,,,,,,
P1572*,,,,,,,,,
P1573*,,,,,,,,,
P1574*,,,,,,,,,
P1575*,,,,,,,,,
P1576*,,,,,,,,,
P1577*,,,,,,,,,
P1578*,,,,,,,,,
P1579*,,,,,,,,,
P1580*,,,,,,,,,
P1581*,,,,,,,,,
P1582*,,,,,,,,,
P1583*,,,,,,,,,
P1584*,,,,,,,,,
P1585*,,,,,,,,,
P1586*,,,,,,,,,
P1587*,,,,,,,,,
P1588*,,,,,,,,,
P1589*,,,,,,,,,
P1590*,,,,,,,,,
P1591*,,,,,,,,,
P1592*,,,,,,,,,
P1593*,,,,,,,,,
P1594*,,,,,,,,,
P1595*,,,,,,,,,
P1596*,,,,,,,,,
P1597*,,,,,,,,,
P1598*,,,,,,,,,
P1599*,,,,,,,,,
P1600*,,,,,,,,,
P1601*,,,,,,,,,
P1602*,,,,,,,,,
P1603*,,,,,,,,,
P1604*,,,,,,,,,
P1605*,,,,,,,,,
P1606*,,,,,,,,,
P1607*,,,,,,,,,
P1608*,,,,,,,,,
P1609*,,,,,,,,,
P1610*,,,,,,,,,
P1611*,,,,,,,,,
P1612*,,,,,,,,,
P1613*,,,,,,,,,
P1614*,,,,,,,,,
P1615*,,,,,,,,,
P1616*,,,,,,,,,
P1617*,,,,,,,,,
P1618*,,,,,,,,,
P1619*,,,,,,,,,
P1620*,,,,,,,,,
P1621*,,,,,,,,,
P1622*,,,,,,,,,
P1623*,,,,,,,,,
P1624*,,,,,,,,,
P1625*,,,,,,,,,
P1626*,,,,,,,,,
P1627*,,,,,,,,,
P1628*,,,,,,,,,
P1629*,,,,,,,,,
P1630*,,,,,,,,,
P1631*,,,,,,,,,
P1632*,,,,,,,,,
P1633*,,,,,,,,,
P1634*,,,,,,,,,
P1635*,,,,,,,,,
P1636*,,,,,,,,,
P1637*,,,,,,,,,
P1638*,,,,,,,,,
P1639*,,,,,,,,,
P1640*,,,,,,,,,
P1641*,,,,,,,,,
P1642*,,,,,,,,,
P1643*,,,,,,,,,
P1644*,,,,,,,,,
P1645*,,,,,,,,,
P1646*,,,,,,,,,
P1647*,,,,,,,,,
P1648*,,,,,,,,,
P1649*,,,,,,,,,
P1650*,,,,,,,,,
P1651*,,,,,,,,,
P1652*,,,,,,,,,
P1653*,,,,,,,,,
P1654*,,,,,,,,,
P1655*,,,,,,,,,
P1656*,,,,,,,,,
P1657*,,,,,,,,,
P1658*,,,,,,,,,
P1659*,,,,,,,,,
P1660*,,,,,,,,,
P1661*,,,,,,,,,
P1662*,,,,,,,,,
P1663*,,,,,,,,,
P1664*,,,,,,,,,
P1665*,,,,,,,,,
P1666*,,,,,,,,,
P1667*,,,,,,,,,
P1668*,,,,,,,,,
P1669*,,,,,,,,,
P1670*,,,,,,,,,
P1671*,,,,,,,,,
P1672*,,,,,,,,,
P1673*,,,,,,,,,
P1674*,,,,,,,,,
P1675*,,,,,,,,,
P1676*,,,,,,,,,
P1677*,,,,,,,,,
P1678*,,,,,,,,,
P1679*,,,,,,,,,
P1680*,,,,,,,,,
P1681*,,,,,,,,,
P1682*,,,,,,,,,
P1683*,,,,,,,,,
P1684*,,,,,,,,,
P1685*,,,,,,,,,
P1686*,,,,,,,,,
P1687*,,,,,,,,,
P1688*,,,,,,,,,
P1689*,,,,,,,,,
P1690*,,,,,,,,,
P1691*,,,,,,,,,
P1692*,,,,,,,,,
P1693*,,,,,,,,,
P1694*,,,,,,,,,
P1695*,,,,,,,,,
P1696*,,,,,,,,,
P1697*,,,,,,,,,
P1698*,,,,,,,,,
P1699*,,,,,,,,,
P1700*,,,,,,,,,
P1701*,,,,,,,,,
P1702*,,,,,,,,,
P1703*,,,,,,,,,
P1704*,,,,,,,,,
P1705*,,,,,,,,,
P1706*,,,,,,,,,
P1707*,,,,,,,,,
P1708*,,,,,,,,,
P1709*,,,,,,,,,
P1710*,,,,,,,,,
P1711*,,,,,,,,,
P1712*,,,,,,,,,
P1713*,,,,,,,,,
P1714*,,,,,,,,,
P1715*,,,,,,,,,
P1716*,,,,,,,,,
P1717*,,,,,,,,,
P1718*,,,,,,,,,
P1719*,,,,,,,,,
P1720*,,,,,,,,,
P1721*,,,,,,,,,
P1722*,,,,,,,,,
P1723*,,,,,,,,,
P1724*,,,,,,,,,
P1725*,,,,,,,,,
P1726*,,,,,,,,,
P1727*,,,,,,,,,
P1728*,,,,,,,,,
P1729*,,,,,,,,,
P1730*,,,,,,,,,
P1731*,,,,,,,,,
P1732*,,,,,,,,,
P1733*,,,,,,,,,
P1734*,,,,,,,,,
P1735*,,,,,,,,,
P1736*,,,,,,,,,
P1737*,,,,,,,,,
P1738*,,,,,,,,,
P1739*,,,,,,,,,
P1740*,,,,,,,,,
P1741*,,,,,,,,,
P1742*,,,,,,,,,
P1743*,,,,,,,,,
P1744*,,,,,,,,,
P1745*,,,,,,,,,
P1746*,,,,,,,,,
P1747*,,,,,,,,,
P1748*,,,,,,,,,
P1749*,,,,,,,,,
P1750*,,,,,,,,,
P1751*,,,,,,,,,
P1752*,,,,,,,,,
P1753*,,,,,,,,,
P1754*,,,,,,,,,
P1755*,,,,,,,,,
P1756*,,,,,,,,,
P1757*,,,,,,,,,
P1758*,,,,,,,,,
P1759*,,,,,,,,,
P1760*,,,,,,,,,
P1761*,,,,,,,,,
P1762*,,,,,,,,,
P1763*,,,,,,,,,
P1764*,,,,,,,,,
P1765*,,,,,,,,,
P1766*,,,,,,,,,
P1767*,,,,,,,,,
P1768*,,,,,,,,,
P1769*,,,,,,,,,
P1770*,,,,,,,,,
P1771*,,,,,,,,,
P1772*,,,,,,,,,
P1773*,,,,,,,,,
P1774*,,,,,,,,,
P1775*,,,,,,,,,
P1776*,,,,,,,,,
P1777*,,,,,,,,,
P1778*,,,,,,,,,
P1779*,,,,,,,,,
P1780*,,,,,,,,,
P1781*,,,,,,,,,
P1782*,,,,,,,,,
P1783*,,,,,,,,,
P1784*,,,,,,,,,
P1785*,,,,,,,,,
P1786*,,,,,,,,,
P1787*,,,,,,,,,
P1788*,,,,,,,,,
P1789*,,,,,,,,,
P1790*,,,,,,,,,
P1791*,,,,,,,,,
P1792*,,,,,,,,,
P1793*,,,,,,,,,
P1794*,,,,,,,,,
P1795*,,,,,,,,,
P1796*,,,,,,,,,
P1797*,,,,,,,,,
P1798*,,,,,,,,,
P1799*,,,,,,,,,
P1800*,,,,,,,,,
P1801*,,,,,,,,,
P1802*,,,,,,,,,
P1803*,,,,,,,,,
P1804*,,,,,,,,,
P1805*,,,,,,,,,
P1806*,,,,,,,,,
P1807*,,,,,,,,,
P1808*,,,,,,,,,
P1809*,,,,,,,,,
P1810*,,,,,,,,,
P1811*,,,,,,,,,
P1812*,,,,,,,,,
P1813*,,,,,,,,,
P1814*,,,,,,,,,
P1815*,,,,,,,,,
P1816*,,,,,,,,,
P1817*,,,,,,,,,
P1818*,,,,,,,,,
P1819*,,,,,,,,,
P1820*,,,,,,,,,
P1821*,,,,,,,,,
P1822*,,,,,,,,,
P1823*,,,,,,,,,
P1824*,,,,,,,,,
P1825*,,,,,,,,,
P1826*,,,,,,,,,
P1827*,,,,,,,,,
P1828*,,,,,,,,,
P1829*,,,,,,,,,
P1830*,,,,,,,,,
P1831*,,,,,,,,,
P1832*,,,,,,,,,
P1833*,,,,,,,,,
P1834*,,,,,,,,,
P1835*,,,,,,,,,
P1836*,,,,,,,,,
P1837*,,,,,,,,,
P1838*,,,,,,,,,
P1839*,,,,,,,,,
P1840*,,,,,,,,,
P1841*,,,,,,,,,
P1842*,,,,,,,,,
P1843*,,,,,,,,,
P1844*,,,,,,,,,
P1845*,,,,,,,,,
P1846*,,,,,,,,,
P1847*,,,,,,,,,
P1848*,,,,,,,,,
P1849*,,,,,,,,,
P1850*,,,,,,,,,
P1851*,,,,,,,,,
P1852*,,,,,,,,,
P1853*,,,,,,,,,
P1854*,,,,,,,,,
P1855*,,,,,,,,,
P1856*,,,,,,,,,
P1857*,,,,,,,,,
P1858*,,,,,,,,,
P1859*,,,,,,,,,
P1860*,,,,,,,,,
P1861*,,,,,,,,,
P1862*,,,,,,,,,
P1863*,,,,,,,,,
P1864*,,,,,,,,,
P1865*,,,,,,,,,
P1866*,,,,,,,,,
P1867*,,,,,,,,,
P1868*,,,,,,,,,
P1869*,,,,,,,,,
P1870*,,,,,,,,,
P1871*,,,,,,,,,
P1872*,,,,,,,,,
P1873*,,,,,,,,,
P1874*,,,,,,,,,
P1875*,,,,,,,,,
P1876*,,,,,,,,,
P1877*,,,,,,,,,
P1878*,,,,,,,,,
P1879*,,,,,,,,,
P1880*,,,,,,,,,
P1881*,,,,,,,,,
P1882*,,,,,,,,,
P1883*,,,,,,,,,
P1884*,,,,,,,,,
P1885*,,,,,,,,,
P1886*,,,,,,,,,
P1887*,,,,,,,,,
P1888*,,,,,,,,,
P1889*,,,,,,,,,
P1890*,,,,,,,,,
P1891*,,,,,,,,,
P1892*,,,,,,,,,
P1893*,,,,,,,,,
P1894*,,,,,,,,,
P1895*,,,,,,,,,
P1896*,,,,,,,,,
P1897*,,,,,,,,,
P1898*,,,,,,,,,
P1899*,,,,,,,,,
P1900*,,,,,,,,,
P1901*,,,,,,,,,
P1902*,,,,,,,,,
P1903*,,,,,,,,,
P1904*,,,,,,,,,
P1905*,,,,,,,,,
P1906*,,,,,,,,,
P1907*,,,,,,,,,
P1908*,,,,,,,,,
P1909*,,,,,,,,,
P1910*,,,,,,,,,
P1911*,,,,,,,,,
P1912*,,,,,,,,,
P1913*,,,,,,,,,
P1914*,,,,,,,,,
P1915*,,,,,,,,,
P1916*,,,,,,,,,
P1917*,,,,,,,,,
P1918*,,,,,,,,,
P1919*,,,,,,,,,
P1920*,,,,,,,,,
P1921*,,,,,,,,,
P1922*,,,,,,,,,
P1923*,,,,,,,,,
P1924*,,,,,,,,,
P1925*,,,,,,,,,
P1926*,,,,,,,,,
P1927*,,,,,,,,,
P1928*,,,,,,,,,
P1929*,,,,,,,,,
P1930*,,,,,,,,,
P1931*,,,,,,,,,
P1932*,,,,,,,,,
P1933*,,,,,,,,,
P1934*,,,,,,,,,
P1935*,,,,,,,,,
P1936*,,,,,,,,,
P1937*,,,,,,,,,
P1938*,,,,,,,,,
P1939*,,,,,,,,,
